ENRICHMENT AUDIT (from enrichment_test_results.json)
Columns: org | type | scraper | scraper_status | jobs | enrich | desc_len | plausibility | note
ACER | normal | scrape_acer.py | ok | 3 | short | 0 | not-plausible | ''
AMLA | normal | scrape_vacancies.py | ok | 17 | no_url | 0 | not-plausible | 
BEREC | normal | scrape_berec.py | ok | 2 | ok | 1674 | plausible | 
BIS | normal | scrape_bis.py | ok | 7 | short | 0 | not-plausible | ''
CE | normal | scrape_coe.py | ok | 4 | ok | 282 | likely-plausible | 
CEB | normal | scrape_ceb.py | ok | 3 | short | 63 | not-plausible | 'Language\nEnglish (United States)\nFrançais (France)\nView Profile'
CEDEFOP | normal | scrape_cedefop.py | ok | 10 | ok | 1350 | plausible | 
CEPOL | normal | scrape_cepol.py | ok | 2 | ok | 9258 | plausible | 
CERN | normal | scrape_cern.py | ok | 63 | ok | 8083 | plausible | 
CPVO | normal | scrape_cpvo.py | ok | 7 | ok | 385 | plausible | 
CR | normal | scrape_cor.py | ok | 3 | ok | 3918 | plausible | 
Council | playwright | scrape_council_pw.py | ok | 27 | error | 0 | not-plausible | 403 Client Error: Forbidden for url: https://www.consilium.europa.eu/bg/general-secretariat/careers/vacancies/
EASA | normal | scrape_easa.py | ok | 4 | short | 35 | not-plausible | 'Create/ View profile\nEmployee Login'
EASO | normal | scrape_euaa.py | ok | 8 | ok | 200 | likely-plausible | 
EBA | normal | scrape_eba.py | ok | 2 | ok | 337 | plausible | 
EBRD | normal | scrape_ebrd.py | ok | 25 | ok | 8105 | plausible | 
EBU | normal | scrape_ebu.py | ok | 5 | ok | 5427 | plausible | 
EC | normal | scrape_ec.py | ok | 53 | ok | 923 | plausible | 
ECA | playwright | scrape_eca_pw.py | ok | 5 | error | 0 | not-plausible | 404 Client Error: NOT FOUND for url: https://www.eca.europa.eu/search
ECB | normal | scrape_ecb.py | ok | 10 | ok | 6863 | plausible | 
ECDC | normal | scrape_ecdc.py | ok | 2 | short | 63 | not-plausible | 'Back\nTraining Support Specialist\nDescription\nDownload PDF\nApply'
ECHA | playwright | scrape_echa_pw.py | ok | 272 | short | 81 | not-plausible | 'Add to Favorites\nPlease Enter a Unique Description for this Favorite\n*Description'
ECMWF | normal | scrape_ecmwf.py | ok | 5 | ok | 9508 | plausible | 
EDA | normal | scrape_eda.py | ok | 7 | error | 0 | not-plausible | HTTPSConnectionPool(host='vacancies.eda.europa.eu', port=443): Max retries exceeded with url: /vacanciesnotice/1034 (Cau
EDPS | normal | scrape_edps.py | ok | 4 | ok | 560 | plausible | 
EEA | normal | scrape_eea.py | ok | 3 | ok | 11198 | plausible | 
EEAS | normal | scrape_eeas.py | ok | 792 | ok | 14271 | plausible | 
EFCA | playwright | scrape_efca_pw.py | ok | 5 | ok | 3252 | plausible | 
EFSA | normal | scrape_efsa.py | ok | 3 | ok | 6825 | plausible | 
EFTA | normal | scrape_efta.py | error | 0 | skipped | 0 | not-checked | 403 Client Error: Forbidden for url: https://www.efta.int/careers/open-vacancies
EIB | playwright | scrape_eib_pw.py | ok | 15 | ok | 392 | plausible | 
EIGE | normal | scrape_eige.py | ok | 6 | ok | 516 | plausible | 
EIOPA | normal | scrape_eiopa.py | ok | 5 | short | 6 | not-plausible | 'Ref. :'
EIT | normal | scrape_eit.py | ok | 7 | ok | 2089 | plausible | 
EMA | normal | scrape_ema.py | ok | 2 | ok | 8267 | plausible | 
EMBL | normal | scrape_embl.py | ok | 31 | error | 0 | not-plausible | 404 Client Error: Not Found for url: https://embl.wd103.myworkdayjobs.com/job/Hinxton-Cambridgeshire/Global-Biodata-Coal
EMSA | normal | scrape_emsa.py | ok | 3 | ok | 1599 | plausible | 
ENISA | normal | scrape_enisa.py | ok | 132 | ok | 971 | plausible | 
EP | normal | scrape_ep.py | ok | 1 | short | 11 | not-plausible | 'Reference :'
EPO | playwright | scrape_epo_pw.py | ok | 4 | ok | 9838 | plausible | 
ERA | normal | scrape_era.py | ok | 10 | ok | 546 | plausible | 
ESA | normal | scrape_esa.py | ok | 25 | short | 0 | not-plausible | ''
ESM | playwright | scrape_esm_pw.py | ok | 15 | short | 0 | not-plausible | ''
ESMA | normal | scrape_esma.py | ok | 1 | short | 81 | not-plausible | 'back\nSeconded National Experts (multiple profiles)\nDescription\nDownload PDF\napply'
ESO | normal | scrape_eso.py | ok | 14 | ok | 286 | likely-plausible | 
ETF | normal | scrape_etf.py | ok | 10 | ok | 1139 | plausible | 
EU | normal | scrape_eu_careers.py | ok | 52 | ok | 923 | plausible | 
EU-LISA | normal | scrape_eulisa.py | ok | 4 | ok | 1671 | plausible | 
EU-OSHA | normal | scrape_eu_osha.py | ok | 7 | ok | 5770 | plausible | 
EUDA | normal | scrape_euda.py | ok | 27 | ok | 21783 | plausible | 
EUIPO | playwright | scrape_euipo_pw.py | ok | 5 | ok | 16987 | plausible | 
EUISS | normal | scrape_euiss.py | empty | 0 | skipped | 0 | not-checked | 
EUMETSAT | normal | scrape_eumetsat.py | ok | 11 | short | 0 | not-plausible | ''
EUROCONTROL | normal | scrape_eurocontrol.py | ok | 3 | error | 0 | not-plausible | HTTPSConnectionPool(host='jobs.eurocontrol.int', port=443): Max retries exceeded with url: /jobs/engineer-buildings-noc-
EUROFOUND | normal | scrape_eurofound.py | empty | 0 | skipped | 0 | not-checked | 
EUROJUST | playwright | scrape_eurojust_pw.py | ok | 1 | ok | 138 | likely-plausible | 
EUROPOL | normal | scrape_europol.py | ok | 10 | short | 80 | not-plausible | 'You need to enable JavaScript to run this app.\nLoading application.\nPlease wait.'
EUTELSAT | normal | scrape_eutelsat.py | ok | 25 | short | 78 | not-plausible | 'Language\nEnglish (United States)\nFrançais (France)\nView Profile\nEmployee Login'
Euratom | normal | scrape_euratom.py | ok | 1 | short | 0 | not-plausible | ''
F4E | normal | scrape_f4e.py | ok | 9 | ok | 8617 | plausible | 
FAO | normal | scrape_fao.py | ok | 133 | short | 0 | not-plausible | ''
FRA | normal | scrape_fra.py | empty | 0 | skipped | 0 | not-checked | 
FRONTEX | normal | scrape_frontex.py | ok | 2 | ok | 4297 | plausible | 
GSA | normal | scrape_euspa.py | ok | 3 | short | 100 | not-plausible | 'Reference\nJob title\nType of contract\nGrade\nPlace of Employment\nDeadline\nStatus\n1\nNo items to display'
IAEA | normal | scrape_iaea.py | ok | 29 | short | 0 | not-plausible | ''
ICES | normal | scrape_ices.py | ok | 2 | ok | 5754 | plausible | 
ICO | playwright | scrape_ico_pw.py | ok | 4 | error | 0 | not-plausible | HTTPSConnectionPool(host='ico.org', port=443): Max retries exceeded with url: /resources/vacancies/ (Caused by SSLError(
IEA | normal | scrape_iea.py | ok | 2 | ok | 9725 | plausible | 
IMO | normal | scrape_imo.py | ok | 5 | short | 0 | not-plausible | ''
IOOC | playwright | scrape_iooc_pw.py | ok | 14 | ok | 317 | plausible | 
NATO | normal | scrape_nato_taleo.py | ok | 120 | ok | 18997 | plausible | 
NDF | normal | scrape_ndf.py | ok | 2 | ok | 590 | plausible | 
NIB | playwright | scrape_nib_pw.py | ok | 4 | ok | 5239 | plausible | 
OECD | normal | scrape_oecd.py | ok | 28 | ok | 12304 | plausible | 
Ombudsman | normal | scrape_ombudsman.py | ok | 8 | short | 13 | not-plausible | 'Loading\n.\n.\n.'
SATCEN | normal | scrape_satcen.py | ok | 8 | ok | 1609 | plausible | 
SRB | normal | scrape_srb.py | ok | 8 | ok | 3758 | plausible | 
THE | normal | scrape_globalfund.py | ok | 1 | error | 0 | not-plausible | 404 Client Error: Not Found for url: https://theglobalfund.wd1.myworkdayjobs.com/job/Geneva/Associate-Field-Security-Of-
UNESCO | normal | scrape_unesco.py | ok | 25 | short | 56 | not-plausible | 'Language\nEnglish\nEspañol\nFrançais\nSign in / View Profile'
UNFCCC | normal | scrape_unfccc.py | ok | 3 | short | 0 | not-plausible | ''
UNHCR | normal | scrape_unhcr.py | ok | 40 | error | 0 | not-plausible | 404 Client Error: Not Found for url: https://unhcr.wd3.myworkdayjobs.com/job/Paris-France/Protection-Intern_JR2664494-1
UNWTO | normal | scrape_unwto.py | ok | 15 | pdf | 0 | pdf-only | 
WCC | normal | scrape_wcc.py | ok | 3 | error | 0 | not-plausible | Invalid URL '/jobs/fk0zfwu/': No scheme supplied. Perhaps you meant https:///jobs/fk0zfwu/?
WHO | normal | scrape_who.py | ok | 54 | short | 0 | not-plausible | ''
WIPO | normal | scrape_wipo.py | ok | 11 | short | 0 | not-plausible | ''
WMO | normal | scrape_wmo.py | ok | 14 | ok | 7464 | plausible | 
WTO | normal | scrape_wto.py | ok | 2 | error | 0 | not-plausible | 404 Client Error: Not Found for url: https://wto.wd103.myworkdayjobs.com/job/CWR/Head-of-Partnerships-and-Outreach_JR103
